Region,2018,2019,2020,2021,2022,2023
    AKMOLA REGION,2 42,2 45,2 55,2 69,2 35,2 27
    AKTOBE REGION,2 81,2 97,3 14,3 36,3 08,3 12
    ALMATY REGION,3 53,3 66,4 03,4 20,3 66,3 57
    ATYRAU REGION,3 60,3 61,3 86,4 00,3 63,3 53
    BATYS-KAZAKHSTAN REGION,2 68,2 75,2 93,3 14,2 84,2 77
    ZHAMBYL REGION,3 54,3 61,3 96,4 22,3 52,3 49
    KARAGANDY REGION,2 24,2 30,2 41,2 54,2 28,2 26
    KOSTANAY REGION,1 77,1 81,1 89,1 88,1 97,1 88
    KYZYLORDA REGION,3 38,3 46,3 96,4 36,3 97,3 90
    MANGYSTAU REGION,3 91,4 02,4 26,4 57,4 15,3 99
    PAVLODAR REGION,2 17,2 19,2 30,2 35,2 27,2 15
    SOLTUSTIK KAZAKHSTAN REGION,2 01,1 98,2 03,1 97,1 87,1 82
    SHYGYS KAZAKHSTAN REGION,2 25,2 34,2 48,2 64,2 23,2 13
    ASTANA CITY,2 89,2 77,2 84,2 99,2 58,2 43
    ALMATY CITY,1 76,1 78,1 86,1 99,2 05,1 96
    SHYMKENT CITY,3 24,3 32,3 66,4 06,3 57,3 45
    TURKISTAN REGION,4 07,4 29,4 75,5 10,4 52,4 39
    ZHETISU REGION,,,,,3 38,3 31
    ULYTAU REGION,,,,,3 30,3 26
    ABAY REGION,,,,,3 13,3 02